;export_buildings.txt DO NOT REMOVE THIS LINE, IT IS NEEDED FOR THE IDE PLUGIN TO WORK

;repairs, dismantles, and upgrades
{generic_repair}	REPAIR
{generic_repair_desc}	REPAIR DAMAGE TO BUILDING
{generic_repair_desc_short}	REPAIR DAMAGE TO BUILDING
{generic_dismantle}	DISMANTLE
{generic_dismantle_desc}	DISMANTLE BUILDING, RECOUPING SOME OF THE VALUE OF THE BUILDING
{generic_dismantle_desc_short}	DISMANTLE BUILDING, RECOUPING SOME OF THE VALUE OF THE BUILDING
{settlement_upgrade_fort}	UPGRADE FORT
{settlement_upgrade_fort_desc}	UPGRADE FORT TO A VILLAGE
{settlement_upgrade_fort_desc_short}	UPGRADE FORT TO A VILLAGE
{settlement_upgrade_village}	UPGRADE VILLAGE
{settlement_upgrade_village_desc}	UPGRADE VILLAGE TO TOWN
{settlement_upgrade_village_desc_short}	UPGRADE VILLAGE TO TOWN
{settlement_upgrade_town}	UPGRADE TOWN
{settlement_upgrade_town_desc}	UPGRADE TOWN TO A LARGE TOWN
{settlement_upgrade_town_desc_short}	UPGRADE TOWN TO A LARGE TOWN
{settlement_upgrade_large_town}	UPGRADE LARGE TOWN
{settlement_upgrade_large_town_desc}	UPGRADE TOWN TO A CITY
{settlement_upgrade_large_town_desc_short}	UPGRADE TOWN TO A CITY
{settlement_upgrade_city}	UPGRADE CITY
{settlement_upgrade_city_desc}	UPGRADE CITY TO A LARGE CITY
{settlement_upgrade_city_desc_short}	UPGRADE CITY TO A LARGE CITY
{settlement_upgrade_large_city}	UPGRADE LARGE CITY
{settlement_upgrade_large_city_desc}	UPGRADE CITY TO A HUGE CITY
{settlement_upgrade_large_city_desc_short}	UPGRADE CITY TO A HUGE CITY

;building trees
{core_building_name}  TODO: Write me
{defenses_name}  TODO: Write me
{barracks_name}  TODO: Write me
{equestrian_name}  TODO: Write me
{missiles_name}  TODO: Write me
{market_name}  TODO: Write me
{smith_name}  TODO: Write me
{port_buildings_name}  TODO: Write me
{health_name}  TODO: Write me
{hinterland_farms_name}  TODO: Write me
{hinterland_roads_name}  TODO: Write me
{hinterland_mines_name}  TODO: Write me
{academic_name}  TODO: Write me
{amphitheatres_name}  TODO: Write me
{theatres_name}  TODO: Write me
{despotic_law_name}  TODO: Write me
{caravans_name}  TODO: Write me
